ItemNum,Description,ScheduleFee
13212,Oocyte retrieval for the purpose of assisted reproductive technologies—only if rendered in connection with a service to which item 13200 or 13201 applies (Anaes.),403.8
13215,"Transfer of embryos or both ova and sperm to the uterus or fallopian tubes, excluding artificial insemination—only if rendered in connection with a service to which item 13200, 13201 or 13218 applies, being services rendered in one treatment cycle (Anaes.)",126.65
13251,"Intracytoplasmic sperm injection for the purpose of assisted reproductive technologies, for male factor infertility, excluding a service to which item 13203 or 13218 applies",476.15
13400,"Restoration of cardiac rhythm by electrical stimulation (cardioversion), other than in the course of cardiac surgery (H) (Anaes.)",110.35
13706,TRANSFUSION OF BLOOD or bone marrow already collected,94.9
13870,"(Note: See para T1.8 of Explanatory Notes to this Category for definition of an Intensive Care Unit) MANAGEMENT of a patient in an Intensive Care Unit by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care - including initial and subsequent attendances, electrocardiographic monitoring, arterial sampling and bladder catheterisation - management on the first day (H)",412.55
13873,"MANAGEMENT of a patient in an Intensive Care Unit by a specialist or consultant physician who is immediately available and exclusively rostered for intensive care - including all attendances, electrocardiographic monitoring, arterial sampling and bladder catheterisation - management on each day subsequent to the first day (H)",305.95
13950,"Parenteral administration of one or more antineoplastic agents, including agents used in cytotoxic chemotherapy or monoclonal antibody therapy but not agents used in anti-resorptive bone therapy or hormonal therapy, by or on behalf of a specialist or consultant physician—attendance for one or more episodes of administration Note: The fee for item 13950 contains a component which covers the accessing of a long-term drug delivery device. TN.1.27 refers",123.05
14221,"LONG-TERM IMPLANTED DEVICE FOR DELIVERY OF THERAPEUTIC AGENTS, accessing of, not being a service associated with a service to which item 13950 applies",59.8
14224,"Electroconvulsive therapy, with or without the use of stimulus dosing techniques, including any electroencephalographic monitoring and associated consultation (H) (Anaes.)",175.15
16500,Antenatal attendance,53.7
16511,"Cervix, purse string ligation of (Anaes.)",250.5
16519,Management of labour and birth by any means (including Caesarean section) including post‑partum care for 5 days (Anaes.),790.6
16520,"Caesarean section and post‑operative care for 7 days, if the patient’s care has been transferred by another medical practitioner for management of the confinement and the attending medical practitioner has not provided any of the antenatal care (Anaes.)",718.65
